File: 100000.txt, correctness: Validated, time elapsed: 0.525445
File: 200000.txt, correctness: Validated, time elapsed: 3.004235
File: 300000.txt, correctness: Validated, time elapsed: 5.499867
File: 400000.txt, correctness: Validated, time elapsed: 8.603749
File: 500000.txt, correctness: Validated, time elapsed: 14.037842
File: 600000.txt, correctness: Validated, time elapsed: 21.215391
File: 700000.txt, correctness: Validated, time elapsed: 27.596703
File: 800000.txt, correctness: Validated, time elapsed: 30.748779
File: 900000.txt, correctness: Validated, time elapsed: 36.063963
File: 1000000.txt, correctness: Validated, time elapsed: 47.423735
File: 2000000.txt, correctness: Validated, time elapsed: 185.161581
File: 3000000.txt, correctness: Validated, time elapsed: 483.462798
File: 4000000.txt, correctness: Validated, time elapsed: 1158.582955
File: 5000000.txt, correctness: Validated, time elapsed: 1653.63893
